Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Residential,34,10,Yes,Chemical,Large,38,3,Yes,10,10,Yes,Yes,1-3 years,21.1,41.1,4.2,25.3
Commercial,14,4,Yes,Chemical,Small,17,6,Yes,4,6,Yes,Yes,None,28.4,99.4,4.5,43.2
Residential,14,4,Yes,Electrical,Medium,8,6,No,5,6,Yes,Yes,None,16.5,66.9,4.4,82.5
Commercial,14,4,Yes,Negligence,Large,31,4,No,6,10,Yes,Yes,Within 1 year,25.2,78.4,4.1,72.4
Commercial,45,13,No,Negligence,Medium,22,7,Yes,14,1,No,Yes,1-3 years,17.3,84.9,3.6,17.4
Commercial,7,2,No,Chemical,Medium,42,2,No,2,0,No,No,Over 3 years,25.8,84.3,3.0,10.1
Industrial,38,11,No,Chemical,Small,34,8,No,6,9,No,No,None,29.7,65.1,2.1,25.6
Industrial,29,8,Yes,Negligence,Medium,33,10,No,6,8,Yes,Yes,1-3 years,27.7,62.9,4.2,12.2
Industrial,45,13,No,Chemical,Small,50,7,No,6,3,No,No,Over 3 years,23.3,68.1,1.2,9.1
Residential,10,3,No,Negligence,Medium,39,5,No,3,1,Yes,Yes,None,15.2,65.5,3.0,10.2
Residential,10,3,Yes,Chemical,Small,5,9,Yes,7,6,No,No,Over 3 years,15.6,84.6,2.4,12.2
Residential,12,3,No,Negligence,Small,44,7,No,2,0,No,No,1-3 years,16.2,83.7,0.8,8.1
Industrial,25,7,Yes,Electrical,Small,20,10,Yes,7,10,No,No,Over 3 years,16.2,55.9,1.0,67.3
Commercial,24,7,Yes,Negligence,Large,35,5,No,9,4,Yes,Yes,Within 1 year,25.7,90.3,2.8,58.8
Residential,24,7,No,Negligence,Medium,27,6,No,4,2,No,No,Within 1 year,23.4,48.0,3.1,9.2
Residential,31,9,No,Negligence,Small,5,8,No,5,3,No,No,Within 1 year,15.4,45.0,2.3,8.1
Residential,26,7,No,Negligence,Large,3,9,Yes,8,6,No,Yes,Within 1 year,16.1,83.9,2.3,15.2
Industrial,29,8,Yes,Chemical,Medium,26,3,No,4,1,No,No,Over 3 years,28.2,96.6,2.8,11.0
Residential,45,13,No,Chemical,Medium,9,8,No,13,10,No,No,None,23.7,54.5,3.0,21.1
Commercial,30,9,Yes,Chemical,Small,0,4,No,4,3,Yes,Yes,Within 1 year,22.9,71.5,1.0,6.4
Residential,45,13,No,Electrical,Large,36,2,Yes,16,6,Yes,Yes,1-3 years,19.4,94.2,4.7,34.6
Residential,13,4,No,Chemical,Small,20,8,Yes,5,6,No,No,None,15.8,50.4,1.0,56.9
Residential,31,9,No,Chemical,Medium,10,8,Yes,10,10,Yes,Yes,Over 3 years,23.3,49.7,1.4,91.9
Commercial,5,1,No,Electrical,Small,31,10,Yes,1,0,No,No,None,17.9,80.5,4.0,22.1
Commercial,47,13,No,Chemical,Medium,23,3,Yes,15,20,Yes,Yes,1-3 years,23.6,98.9,1.3,24.2
Industrial,29,8,No,Electrical,Medium,38,7,Yes,9,15,No,Yes,None,27.2,77.5,1.2,14.7
Industrial,6,2,No,Negligence,Small,46,4,Yes,2,10,No,No,Within 1 year,25.6,79.5,3.7,90.5
Commercial,14,4,Yes,Chemical,Large,5,4,No,3,1,No,No,None,19.8,72.8,3.6,12.2
Commercial,44,13,Yes,Electrical,Medium,7,6,Yes,8,7,No,No,Within 1 year,28.9,74.6,1.8,12.3
Industrial,6,2,Yes,Chemical,Small,38,3,Yes,6,9,No,No,None,15.4,93.3,3.3,58.7
Residential,15,4,No,Negligence,Small,23,5,No,8,7,No,No,1-3 years,17.7,89.1,0.8,22.9
Industrial,35,10,Yes,Chemical,Large,13,9,Yes,8,9,No,No,1-3 years,29.7,53.7,2.9,69.0
Residential,30,9,No,Electrical,Large,1,10,Yes,10,16,No,No,Over 3 years,18.9,87.5,1.9,60.8
Residential,35,10,Yes,Chemical,Large,13,1,No,2,5,Yes,Yes,Over 3 years,19.2,49.0,2.1,12.3
Residential,23,7,No,Chemical,Medium,34,7,No,6,7,No,Yes,None,24.2,40.4,1.4,28.1
Residential,39,11,No,Negligence,Large,27,10,Yes,13,20,Yes,No,None,16.0,66.5,3.1,91.4
Residential,43,12,Yes,Chemical,Small,44,9,Yes,13,1,Yes,Yes,Over 3 years,21.1,89.9,1.0,80.8
Commercial,36,10,No,Chemical,Large,38,7,Yes,9,8,Yes,Yes,Within 1 year,17.6,41.3,4.1,45.5
Commercial,17,5,No,Electrical,Medium,44,7,Yes,6,10,Yes,No,1-3 years,24.0,42.5,4.5,15.2
