,Building_Height_(m),Number_of_Floors,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm),repair,Building_Type_Industrial,Building_Type_Residential,Fire_Occurrence_Yes,Type_of_Fire_Electrical,Type_of_Fire_Negligence,Fire_Scale_Medium,Fire_Scale_Small,Sprinkler_System_Present_Yes,Electrical_Equipment_Inspection_Conducted_Yes,Gas_Equipment_Inspection_Conducted_Yes
0,34,10,38,3,10,10,21.1,0.41100000000000003,4.2,25.3,0.5,0,1,1,0,0,0,0,1,1,1
1,14,4,17,6,4,6,28.4,0.9940000000000001,4.5,43.2,0.0,0,0,1,0,0,0,1,1,1,1
2,14,4,8,6,5,6,16.5,0.669,4.4,82.5,0.0,0,1,1,1,0,1,0,0,1,1
3,14,4,31,4,6,10,25.2,0.784,4.1,72.4,0.75,0,0,1,0,1,0,0,0,1,1
7,29,8,33,10,6,8,27.7,0.629,4.2,12.2,0.5,1,0,1,0,1,1,0,0,1,1
10,10,3,5,9,7,6,15.6,0.846,2.4,12.2,0.25,0,1,1,0,0,0,1,1,0,0
12,25,7,20,10,7,10,16.2,0.5589999999999999,1.0,67.3,0.25,1,0,1,1,0,0,1,1,0,0
13,24,7,35,5,9,4,25.7,0.903,2.8,58.8,0.75,0,0,1,0,1,0,0,0,1,1
17,29,8,26,3,4,1,28.2,0.966,2.8,11.0,0.25,1,0,1,0,0,1,0,0,0,0
19,30,9,0,4,4,3,22.9,0.715,1.0,6.4,0.75,0,0,1,0,0,0,1,0,1,1
27,14,4,5,4,3,1,19.8,0.728,3.6,12.2,0.0,0,0,1,0,0,0,0,0,0,0
28,44,13,7,6,8,7,28.9,0.746,1.8,12.3,0.75,0,0,1,1,0,1,0,1,0,0
29,6,2,38,3,6,9,15.4,0.9329999999999999,3.3,58.7,0.0,1,0,1,0,0,0,1,1,0,0
31,35,10,13,9,8,9,29.7,0.537,2.9,69.0,0.5,1,0,1,0,0,0,0,1,0,0
33,35,10,13,1,2,5,19.2,0.49,2.1,12.3,0.25,0,1,1,0,0,0,0,0,1,1
36,43,12,44,9,13,1,21.1,0.899,1.0,80.8,0.25,0,1,1,0,0,0,1,1,1,1
39,14,4,29,5,2,4,19.7,0.609,0.6,89.9,0.0,0,0,1,0,0,0,1,0,0,0
40,18,5,37,5,3,2,17.0,0.546,2.3,94.1,0.0,1,0,1,0,1,1,0,1,0,0
41,44,13,44,2,12,10,20.5,0.972,2.7,58.4,0.25,1,0,1,1,0,0,0,1,1,1
42,10,3,12,9,3,1,15.1,0.647,4.9,36.3,0.0,0,1,1,0,0,1,0,0,0,0
48,33,9,24,1,3,6,15.8,0.568,4.5,2.3,0.25,0,0,1,0,1,1,0,1,0,0
49,26,7,36,1,6,7,20.8,0.489,4.1,23.2,0.0,0,1,1,0,0,1,0,1,0,0
51,13,4,23,1,4,0,15.85657312856038,0.7321208578662264,4.804728842592688,46.9546654230843,0.75,0,0,1,0,0,0,1,1,0,0
52,39,11,11,8,13,14,21.32215312206589,0.6324873010871649,3.6152936563290528,32.959905199201806,0.25,0,1,1,0,0,0,0,1,1,1
54,33,9,50,1,8,6,28.43898253624624,0.7212578559050479,2.966034646487544,24.774649611694944,0.25,0,1,1,0,0,0,1,1,1,0
58,19,5,45,4,2,0,26.105133395216413,0.8242097794883008,4.9,10.615557972374283,0.75,0,0,1,0,1,0,1,0,1,1
60,5,1,27,8,2,8,22.60582756540413,0.6016221598021828,3.3243844152167683,50.21324975925928,0.25,0,0,1,0,1,0,0,0,0,0
64,31,8,0,10,4,1,15.1,0.6403534379531063,2.827777149191315,2.3,0.0,0,1,1,0,0,0,1,1,0,0
69,24,7,9,6,7,9,23.84304174658847,0.8857058433021828,2.105606336414772,23.67418747474041,0.5,0,1,1,0,1,0,1,1,1,1
74,15,5,0,5,5,4,16.774349602124598,0.5937215223794124,2.3851565111868824,45.90207638936254,0.0,0,1,1,0,0,0,1,1,0,1
79,9,3,36,1,1,6,23.069202523678698,0.8415009077231133,0.6,28.03548554103607,0.0,0,1,1,0,0,0,1,0,0,0
81,20,6,27,8,5,8,26.165117722243025,0.8576896009986958,2.121600745087568,18.003388982823488,0.25,0,0,1,0,1,0,1,0,0,0
82,37,11,0,7,10,4,17.15378027401078,0.6123664546079621,2.3694230352622894,56.9430499500689,0.25,0,1,1,0,1,1,0,1,0,1
84,19,5,42,5,7,8,15.1,0.6540192357323404,4.18282944077825,23.02050629051483,0.25,0,0,1,0,1,1,0,1,0,0
88,5,1,25,5,1,1,16.94080245039869,0.7896398875044929,2.691753047983908,31.045857373274945,0.0,0,0,1,0,0,1,0,0,0,0
95,18,5,20,4,3,0,20.79941327367458,0.8646035498823056,2.950453671583217,44.89567593986874,0.0,0,0,1,0,1,0,1,0,0,0
96,26,7,16,1,3,0,20.10527696436668,0.6651052390346962,2.659968642448778,4.937372978080639,0.25,0,1,1,0,0,0,1,0,1,1
97,49,14,13,10,14,20,23.21254850919224,0.6472939742108714,0.6,41.93512654284044,0.75,0,0,1,0,0,0,1,1,0,0
98,44,12,38,9,11,18,22.9345620728894,0.4893728584158888,4.285302181001016,86.92764955712228,0.25,1,0,1,0,0,0,0,1,1,0
102,20,6,15,5,4,0,20.04800290231433,0.9146357247471615,4.9,2.3,0.75,0,0,1,1,0,0,0,0,1,1
104,24,6,13,4,2,4,21.881876446025483,0.6160652106755217,1.2152498934094935,33.811860547601,0.5,0,0,1,0,1,0,0,1,0,0
106,29,8,25,4,10,15,24.77784323748508,0.9940000000000001,1.3201366300332973,65.10466376681225,0.0,0,0,1,0,0,0,0,1,0,0
107,36,10,9,3,11,20,24.9900203088876,0.775819396043355,4.874456347669666,42.43936901676256,0.0,1,0,1,0,1,1,0,1,0,0
113,16,4,44,7,6,12,26.65914576255524,0.7981413359843724,1.084540156746871,67.077145141838,0.0,1,0,1,0,1,0,1,1,0,0
115,9,3,27,7,1,5,23.98586289193637,0.6095849090267884,3.02023413575794,20.46596167495803,0.0,1,0,1,0,0,1,0,0,0,0
119,38,11,17,5,8,16,25.85515328218238,0.917958773909664,2.815842504902024,61.34601447128827,0.25,1,0,1,0,0,0,0,0,0,0
120,38,11,32,2,11,5,29.7,0.9257238855547986,4.170111976515065,67.70507118923521,0.5,1,0,1,0,1,1,0,1,1,1
121,17,5,44,6,2,0,27.7589554754984,0.6589371741188375,2.376332941707735,14.541567808689166,0.25,0,0,1,0,0,1,0,0,0,0
122,25,7,23,9,12,16,29.7,0.49159760930802887,2.547602118258179,36.02011779196111,0.0,0,1,1,0,0,0,1,0,1,1
123,27,7,18,4,4,3,19.265079356902817,0.8514858864574205,3.154515196196265,60.85166115114683,0.25,0,0,1,1,0,1,0,0,0,0
128,26,8,4,4,5,0,24.35703879844348,0.8984885380318238,2.269365066092321,64.7042534067507,0.75,0,1,1,0,0,0,1,0,0,0
134,20,6,5,7,6,2,21.19373138264775,0.5058318596967335,4.490135058368709,35.53146685546984,0.25,0,1,1,0,0,0,1,1,0,1
137,21,6,21,8,6,6,19.26941113434748,0.5469683157130603,3.2880014682173484,56.498113106857744,0.75,0,0,1,0,0,0,1,0,1,1
139,16,5,3,2,5,9,21.60148452593669,0.9940000000000001,0.6,18.37646509976354,0.5,0,0,1,0,1,0,1,0,0,0
141,15,4,50,1,2,5,24.986248498693005,0.8068136221429527,3.981529371929968,30.11599593023896,0.0,1,0,1,0,0,0,1,0,0,0
142,22,6,27,4,7,8,16.60188898772299,0.7461134131161659,4.057723888287242,52.09033537833055,0.25,0,0,1,0,1,0,0,1,0,1
143,23,7,2,6,3,2,24.085263410023664,0.8114244104877304,1.850724931777387,9.53247916270951,0.75,1,0,1,0,1,0,1,0,0,1
144,14,4,12,7,2,6,16.873777992598438,0.47184661410625695,1.043324459845257,58.0154359364565,0.75,0,1,1,0,1,1,0,1,0,1
146,33,10,28,6,12,13,20.540943080975016,0.9480601206882214,0.7461868498014155,18.165624917651225,0.0,0,0,1,0,1,0,1,1,0,0
149,36,10,31,5,8,9,29.271663929689424,0.8911828308518431,0.6,2.3,0.75,0,0,1,0,0,0,1,1,0,0
150,5,1,34,5,1,0,15.1,0.40399999999999997,4.9,78.91973479105216,0.0,0,1,1,0,1,0,0,1,0,0
152,34,10,29,4,8,2,20.987955216498623,0.7577660822594388,2.3652667719041034,17.951788990165408,0.75,0,0,1,0,0,1,0,1,0,0
154,21,6,8,5,6,14,22.36534991751639,0.878045916556066,2.503660644088152,58.10404394948095,0.0,0,1,1,0,1,0,1,1,0,0
157,5,1,35,8,2,2,16.475221964264268,0.7982894931167723,3.0928176111690058,46.546230606926045,0.0,0,1,1,0,1,1,0,1,0,0
158,26,7,25,4,5,3,22.15955731913614,0.5892962848217115,2.9309808601836465,4.129865344243108,0.75,0,1,1,0,1,0,1,1,0,1
162,33,9,45,3,8,7,21.10411845111512,0.5842854864918715,3.086421639523387,13.187244879015989,0.5,0,1,1,0,0,0,1,1,1,1
168,5,2,27,8,6,2,23.33635604445312,0.7833147796759163,3.3081028801770254,72.92999392440687,0.25,0,0,1,0,1,0,0,1,0,0
169,5,1,11,3,1,0,19.739110056824583,0.597354600911447,3.960453047532148,47.76053984084265,0.75,0,0,1,0,0,0,1,1,0,0
173,43,12,42,7,12,8,23.380152780364984,0.6584967483317871,1.0994468160480837,90.53739026319047,0.25,1,0,1,0,0,0,1,1,0,1
174,25,8,23,5,9,14,25.269091905701814,0.7356687892229118,4.078754103568379,78.41313099113377,0.25,0,0,1,0,1,0,0,1,0,1
175,25,7,23,3,3,1,25.626578272239485,0.5818147778390848,1.431353899682303,60.72712302485402,0.25,1,0,1,0,0,1,0,0,0,0
176,29,9,3,4,7,4,24.713638853343262,0.705294156628787,2.258421939840264,34.0257192334725,0.25,0,1,1,0,0,0,0,1,1,1
